"Date of Download: 2023-08-09_15:19:08"
"Search Parameters: Data Level:all  Trait List:  Trial List:11385,11386,11450,11451,11453,11454,11455,11458,11460,10549,10548,11461  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Cassava anthracnose disease severity|month 5|COMP:0000273","Cassava anthracnose disease severity|month 7|COMP:0000274","Cassava bacterial blight severity|month 5|COMP:0000271","Cassava bacterial blight severity|month 7|COMP:0000272","Red spider mite severity|month 5|COMP:0000319","branching level counting|CO_334:0000079","cassava anthractnose disease severity in 3-month|CO_334:0000218","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh shoot weight measurement in kg per plot|CO_334:0000016","fresh storage root weight per plot|CO_334:0000012","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","non marketable root number counting|CO_334:0000168","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","red spider mite severity : visual 1-5|CO_334:0000044","red spider mite severity : visual 1-5|month 7|COMP:0000283","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","2175624","Eco-Blanca","","plot","4827569","202074CQPEA_fran_rep1_Eco-Blanca_16","2","2","16","1","3","check","","","","","","","3","","","24.6249440298507","37","23.4259259259259","9.46","12.65","1","3","1","","3","1.626","","7","20","2","194.8","156.8","5","","","3","1","4","2","45","2258","114","0","19","1","1","1","2"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","2175624","Eco-Blanca","","plot","4827564","202074CQPEA_fran_rep1_Eco-Blanca_17","3","3","17","1","2","check","","","","","","","4","","","26.6517894390163","41.25","22.6296296296296","7.84","12.22","1","4","1","","4","1.6625","","7","20","2","218.75","151","4","","","3","1","4","2","46","2427.5","150.25","0","17","1","1","1","2"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","2175624","Eco-Blanca","","plot","4827577","202074CQPEA_fran_rep1_Eco-Blanca_25","4","4","25","8","1","check","","","","","","","4","","","26.6822230483271","30.3333333333333","34.4259259259259","9.56","18.59","1","2","1","","4","1.85","","6","20","3","216.5","200.833333333333","6","","","3","1","4","2","54","2390","148.333333333333","0","20","1","1","1","2"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","2175624","Eco-Blanca","","plot","4827549","202074CQPEA_fran_rep1_Eco-Blanca_3","1","1","3","3","4","check","","","","","","","3","","","24.2999680511182","83.8333333333333","6.09259259259259","5.14","3.29","1","3","1","","0","0.0716666666666667","","5","20","3","189.166666666667","75.5","6","","","3","1","4","2","26","548.333333333333","26.6666666666667","3","18","1","1","1","2"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","166651","GM214-62","","plot","4827557","202074CQPEA_fran_rep1_GM214-62_11","2","2","11","6","3","test","","","","","","","3","","","28.7703174603174","74.4","21.037037037037","4.6","11.36","1","2","1","","1","0.914","","3","20","3","153.6","124.4","5","","","3","1","2","2","26","2040","150","0","13","1","1","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","166651","GM214-62","","plot","4827570","202074CQPEA_fran_rep1_GM214-62_19","3","3","19","3","2","test","","","","","","","4","","","31.4055464759959","35.8333333333333","26.9814814814815","4.89","14.57","1","3","1","","1","0.87","","6","20","3","162.166666666667","101.666666666667","6","","","3","1","2","2","40","1788.33333333333","156.666666666667","0","20","1","1","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","166651","GM214-62","","plot","4827550","202074CQPEA_fran_rep1_GM214-62_32","4","4","32","1","1","test","","","","","","","4","","","30.284829369183","54.1666666666667","20.3518518518519","5.07","10.99","1","2","1","","2","0.985","","5","20","3","187.5","149","6","","","3","1","2","2","30","1755","143.333333333333","1","20","1","1","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","166651","GM214-62","","plot","4827556","202074CQPEA_fran_rep1_GM214-62_4","1","1","4","4","4","test","","","","","","","5","","","20.1176543209876","70","1.53703703703704","1.14","0.83","1","4","1","","1","0.38","","6","20","2","191","92","1","","","3","1","2","2","3","830","20","0","15","1","1","1","1"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","323528","GM3594-70","","plot","4827563","202074CQPEA_fran_rep1_GM3594-70_15","2","2","15","2","3","test","","","","","","","4","","","23.5199307159353","113.25","8.38888888888889","5.53","4.53","1","4","1","","1","0.195","","7","20","3","214.25","108.25","4","","","3","1","3","2","28","1132.5","50","0","18","2","1","1","3"," (Operator: lizbethpino, Time: )"
"2020","174","CIAT","CIAT cassava breeding, Cali, Colombia","10548","202074CQPEA_fran","202074CQPEA_fran","RCBD","","","","no","no","2020-November-06","2021-November-21","456","Francisco Pizarro","323528","GM3594-70","","plot","4827561","202074CQPEA_fran_rep1_GM3594-70_24","3","3","24","8","2","test","","","","","","","4","","","26.637984496124","95.1666666666667","15.2777777777778","13.48","8.25","1","4","2","","0","0.2","","7","20","2","265.5","231.833333333333","6","","","3","1","3","2","52","1375","85","0","20","2","1","1","3"," (Operator: lizbethpino, Time: )"
