"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","CAD_5mon","CAD_7mon","CBB_5mon","CBB_7mon","redspider_5mon1_3 ","branch_number","CAD_3mon","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","root_number_non_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","mites_3mon","mites_7mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_Eco-Blanca_16",2,16,1,3,"check"," (Operator: lizbethpino, Time: )","Eco-Blanca","test",NA,NA,NA,NA,NA,3,NA,NA,24.6249440298507,37,23.4259259259259,9.46,12.65,1,3,1,NA,3,1.626,NA,7,20,2,194.8,156.8,5,NA,NA,3,1,4,2,45,2258,114,0,19,1,1,1,2,6,95,23.4259259259259,5.76862114773354
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_Eco-Blanca_17",3,17,1,2,"check"," (Operator: lizbethpino, Time: )","Eco-Blanca","test",NA,NA,NA,NA,NA,4,NA,NA,26.6517894390163,41.25,22.6296296296296,7.84,12.22,1,4,1,NA,4,1.6625,NA,7,20,2,218.75,151,4,NA,NA,3,1,4,2,46,2427.5,150.25,0,17,1,1,1,2,6,85,22.6296296296296,6.03120123971813
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_Eco-Blanca_25",4,25,8,1,"check"," (Operator: lizbethpino, Time: )","Eco-Blanca","test",NA,NA,NA,NA,NA,4,NA,NA,26.6822230483271,30.3333333333333,34.4259259259259,9.56,18.59,1,2,1,NA,4,1.85,NA,6,20,3,216.5,200.833333333333,6,NA,NA,3,1,4,2,54,2390,148.333333333333,0,20,1,1,1,2,6,100,34.4259259259259,9.18560234200742
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_Eco-Blanca_3",1,3,3,4,"check"," (Operator: lizbethpino, Time: )","Eco-Blanca","test",NA,NA,NA,NA,NA,3,NA,NA,24.2999680511182,83.8333333333333,6.09259259259259,5.14,3.29,1,3,1,NA,0,0.0716666666666667,NA,5,20,3,189.166666666667,75.5,6,NA,NA,3,1,4,2,26,548.333333333333,26.6666666666667,3,18,1,1,1,2,6,90,6.09259259259259,1.48049805348479
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM214-62_11",2,11,6,3,"test"," (Operator: lizbethpino, Time: )","GM214-62","test",NA,NA,NA,NA,NA,3,NA,NA,28.7703174603174,74.4,21.037037037037,4.6,11.36,1,2,1,NA,1,0.914,NA,3,20,3,153.6,124.4,5,NA,NA,3,1,2,2,26,2040,150,0,13,1,1,1,1,6,65,21.037037037037,6.05242233980009
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM214-62_19",3,19,3,2,"test"," (Operator: lizbethpino, Time: )","GM214-62","test",NA,NA,NA,NA,NA,4,NA,NA,31.4055464759959,35.8333333333333,26.9814814814815,4.89,14.57,1,3,1,NA,1,0.87,NA,6,20,3,162.166666666667,101.666666666667,6,NA,NA,3,1,2,2,40,1788.33333333333,156.666666666667,0,20,1,1,1,1,6,100,26.9814814814815,8.4736817065789
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM214-62_32",4,32,1,1,"test"," (Operator: lizbethpino, Time: )","GM214-62","test",NA,NA,NA,NA,NA,4,NA,NA,30.284829369183,54.1666666666667,20.3518518518519,5.07,10.99,1,2,1,NA,2,0.985,NA,5,20,3,187.5,149,6,NA,NA,3,1,2,2,30,1755,143.333333333333,1,20,1,1,1,1,6,100,20.3518518518519,6.16352360680226
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM214-62_4",1,4,4,4,"test"," (Operator: lizbethpino, Time: )","GM214-62","test",NA,NA,NA,NA,NA,5,NA,NA,20.1176543209876,70,1.53703703703704,1.14,0.83,1,4,1,NA,1,0.38,NA,6,20,2,191,92,1,NA,NA,3,1,2,2,3,830,20,0,15,1,1,1,1,6,75,1.53703703703704,0.309215797896662
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM3594-70_15",2,15,2,3,"test"," (Operator: lizbethpino, Time: )","GM3594-70","test",NA,NA,NA,NA,NA,4,NA,NA,23.5199307159353,113.25,8.38888888888889,5.53,4.53,1,4,1,NA,1,0.195,NA,7,20,3,214.25,108.25,4,NA,NA,3,1,3,2,28,1132.5,50,0,18,2,1,1,3,6,90,8.38888888888889,1.97306085450346
2020,"202074CQPEA_fran","202074CQPEA_fran",4,4.5,"2020-November-06","2021-November-21","Francisco Pizarro",NA,"202074CQPEA_fran_rep1_GM3594-70_24",3,24,8,2,"test"," (Operator: lizbethpino, Time: )","GM3594-70","test",NA,NA,NA,NA,NA,4,NA,NA,26.637984496124,95.1666666666667,15.2777777777778,13.48,8.25,1,4,2,NA,0,0.2,NA,7,20,2,265.5,231.833333333333,6,NA,NA,3,1,3,2,52,1375,85,0,20,2,1,1,3,6,100,15.2777777777778,4.06969207579673
